,track_name,track_id,artist_name,artist_id,album_id
0,All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault],7076626,Taylor Swift,1177,
1,All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic],7394358,Taylor Swift,1177,
2,cardigan,5793984,Taylor Swift,1177,
3,exile,5793983,Taylor Swift,1177,
4,Lover,4508914,Taylor Swift,1177,
5,the 1,5794073,Taylor Swift,1177,
6,Is It Over Now? (Taylor’s Version) [From The Vault],9538404,Taylor Swift,1177,
7,august,5793977,Taylor Swift,1177,
8,Cruel Summer,4712978,Taylor Swift,1177,
9,Look What You Made Me Do,3210592,Taylor Swift,1177,
10,betty,5793962,Taylor Swift,1177,
11,champagne problems,6260160,Taylor Swift,1177,
12,Anti-Hero,8434253,Taylor Swift,1177,
13,tolerate it,6260164,Taylor Swift,1177,
14,Style,542390,Taylor Swift,1177,
15,Blank Space,542389,Taylor Swift,1177,
16,You’re Losing Me (From The Vault),9157489,Taylor Swift,1177,
17,my tears ricochet,5793982,Taylor Swift,1177,
18,End Game,3281773,Taylor Swift,1177,
19,“Slut!” (Taylor’s Version) [From The Vault],9539416,Taylor Swift,1177,
20,"thank u, next",4063065,Ariana Grande,26507,
21,7 rings,4067762,Ariana Grande,26507,
22,God is a woman,3681280,Ariana Grande,26507,
23,Side To Side,2457495,Ariana Grande,26507,
24,no tears left to cry,3649172,Ariana Grande,26507,
25,34+35,6071429,Ariana Grande,26507,
26,"break up with your girlfriend, i’m bored",4226433,Ariana Grande,26507,
27,breathin,3681287,Ariana Grande,26507,
28,positions,6068618,Ariana Grande,26507,
29,Stuck with U,5524080,Ariana Grande & Justin Bieber,2000746,
30,"yes, and?",9888882,Ariana Grande,26507,
31,pov,6094314,Ariana Grande,26507,
32,imagine,4067749,Ariana Grande,26507,
33,Boyfriend,4737178,Ariana Grande & Social House,1898307,
34,needy,4000336,Ariana Grande,26507,
35,Bang Bang,486355,"Jessie J, Ariana Grande & Nicki Minaj",1212411,
36,ghostin,4067759,Ariana Grande,26507,
