track_name,track_id,artist_name,artist_id
All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault],7076626,Taylor Swift,1177
All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic],7394358,Taylor Swift,1177
cardigan,5793984,Taylor Swift,1177
exile,5793983,Taylor Swift,1177
Lover,4508914,Taylor Swift,1177
the 1,5794073,Taylor Swift,1177
Is It Over Now? (Taylor’s Version) [From The Vault],9538404,Taylor Swift,1177
august,5793977,Taylor Swift,1177
Cruel Summer,4712978,Taylor Swift,1177
Look What You Made Me Do,3210592,Taylor Swift,1177
betty,5793962,Taylor Swift,1177
champagne problems,6260160,Taylor Swift,1177
Anti-Hero,8434253,Taylor Swift,1177
tolerate it,6260164,Taylor Swift,1177
Style,542390,Taylor Swift,1177
Blank Space,542389,Taylor Swift,1177
You’re Losing Me (From The Vault),9157489,Taylor Swift,1177
my tears ricochet,5793982,Taylor Swift,1177
End Game,3281773,Taylor Swift,1177
“Slut!” (Taylor’s Version) [From The Vault],9539416,Taylor Swift,1177
...Ready for It?,3221550,Taylor Swift,1177
You Need To Calm Down,4625737,Taylor Swift,1177
willow,6260155,Taylor Swift,1177
ME!,4472545,Taylor Swift,1177
invisible string,5793972,Taylor Swift,1177
"You’re On Your Own, Kid",8485908,Taylor Swift,1177
Maroon,8485907,Taylor Swift,1177
All Too Well,102701,Taylor Swift,1177
seven,5793979,Taylor Swift,1177
the last great american dynasty,5793985,Taylor Swift,1177
We Are Never Ever Getting Back Together,84880,Taylor Swift,1177
Now That We Don’t Talk (Taylor’s Version) [From The Vault],9666585,Taylor Swift,1177
Love Story,98867,Taylor Swift,1177
illicit affairs,5793974,Taylor Swift,1177
this is me trying,5793975,Taylor Swift,1177
happiness,6260166,Taylor Swift,1177
Karma,8485918,Taylor Swift,1177
Delicate,3283025,Taylor Swift,1177
Call It What You Want,3300013,Taylor Swift,1177
Question...?,8485912,Taylor Swift,1177
Say Don’t Go (Taylor’s Version) [From The Vault],9538405,Taylor Swift,1177
Mastermind,8400683,Taylor Swift,1177
ivy,6260153,Taylor Swift,1177
Shake It Off,499725,Taylor Swift,1177
Snow On The Beach,8445376,Taylor Swift,1177
Bad Blood (Remix),1866151,Taylor Swift,1177
