movie,processed_movie,Associated Music Genres
   Marvel Cinematic Universe,marvel cinematic universe,"alternative,pop,punk,jazz"
   Star Wars,star wars,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Harry Potter (franchise),harry potter,"alternative,pop,punk,jazz"
   The Lion King (1994),the lion king,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Shrek (Franchise),shrek,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Incredibles (Franchise),the incredibles,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Titanic (1997),titanic,"piano,epic,indie-pop,opera,rock,dubstep,singer-songwriter,acoustic,ambient,hard-rock,metal,world-music,electronic,classical,punk,drum-and-bass,alternative,symphony,indie"
   Aladdin (1992),aladdin,"acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Back to the Future (franchise),back to the future,"acoustic,folk,ambient,chill,synth-pop,retro,synthwave,space,new-age,alternative,world-music,electronic,rock"
   Fight Club (1999),fight club,"grunge,industrial,psych-rock,jazz,punk"
   Pirates of the Caribbean,pirates of the caribbean,"folk,goth,french,indie-pop"
   Coco (2017),coco,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Lord of the Rings,the lord of the rings,"acoustic,folk,ambient,epic-fantasy,soundtrack,new-age,alternative,world-music,rock"
   Finding Nemo (Franchise),finding nemo,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Toy Story (Franchise),toy story,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Princess and the Frog (2009),the princess and the frog,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Winnie the Pooh (2011),winnie the pooh,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Forrest Gump (1994),forrest gump,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Once Upon a Time in Hollywood (2019),once upon a time in hollywood,"jazz, r-n-b, soul, singer-songwriter, indie, folk, romantic"
   The Hunger Games,the hunger games,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Charlie and the Chocolate Factory (2005),charlie and the chocolate factory,"acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Cars (Franchise),cars,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Up (2009),up,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Godfather,the godfather,"acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   To All the Boys I've Loved Before (2018),to all the boys i've loved before,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Zootopia (2016),zootopia,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Hotel Transylvania (2012),hotel transylvania,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Se7en (1995),se7en,"piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Heathers (1988),heathers,"reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
   Men in Black,men in black,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   How to Train Your Dragon (Franchise),how to train your dragon,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Beauty and the Beast (1991),beauty and the beast,"acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   Ice Age (Franchise),ice age,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Kung Fu Panda (franchise),kung fu panda,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   High School Musical (Film Trilogy),high school musical,"romantic,happy,pop"
   The Spider-Man Trilogy,the spider-man trilogy,"rock,jazz,alternative,trip-hop"
   DC Extended Universe,dc extended universe,"acoustic,punk,ambient,dubstep,hard-rock,ambient"
   The Jungle Book (1967),the jungle book,"acoustic,indie,folk,ambient,piano,upbeat,children,pop,singer-songwriter,indie-pop,kids,new-age,alternative,world-music,rock,fun"
   The Kissing Booth,the kissing booth,"folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Megamind (2010),megamind,"punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
   Coraline (2009),coraline,"acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   Bohemian Rhapsody (2018),bohemian rhapsody,"acoustic,country,folk,piano,jazz,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Monsters Inc. (2001),"monsters, inc.","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   1917 (2019),1917,"acoustic,piano,punk,patriotic,dubstep,hard-rock,alternative,soundtrack,singer-songwriter,indie-pop,drum-and-bass,rock,metal,world-music,electronic,indie"
   The Great Gatsby (2013),the great gatsby,"jazz,piano,funk,pop,downtempo,indie-pop,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,chill,electronic,alternative,blues,hip-hop,rock,r-n-b,indie,soul"
   The Rocky Horror Picture Show (1975),the rocky horror picture show,"darkwave,dance,ambient,r-n-b,pop,singer-songwriter,dark-ambient,noise,musical-theatre,metal,electronic,indie,industrial,soul"
   Baby Driver (2017),baby driver,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Cinderella (1950),cinderella,"acoustic,indie,folk,ambient,piano,upbeat,children,pop,singer-songwriter,indie-pop,kids,new-age,alternative,world-music,rock,fun"
   Inglourious Basterds (2009),inglourious basterds,"acoustic,indie,folk,ambient,piano,patriotic,punk,soundtrack,singer-songwriter,indie-pop,new-age,alternative,metal,world-music,rock"
   The Nightmare Before Christmas (1993),the nightmare before christmas,"folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,alternative,upbeat,rock,fun"
   Moana (2016),moana,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Portrait of a Lady on Fire (2019),portrait of a lady on fire,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Clueless (1995),clueless,"folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   The Little Mermaid (1989),the little mermaid,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Lolita (1997),lolita,"piano,pop,indie-pop,folk,dubstep,singer-songwriter,grime,acoustic,reggae,trap,electronic,alternative,romantic,drum-and-bass,hip-hop,rock,r-n-b,indie,soul"
   Despicable Me,despicable me,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Pride and Prejudice (2005),pride and prejudice,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   A Clockwork Orange (1971),a clockwork orange,"reggae,ambient,dubstep,synth-pop,retro,synthwave,trap,drum-and-bass,space,grime,hip-hop,chill,electronic"
   101 Dalmatians (1996),101 dalmatians,"acoustic,folk,ambient,reggae,dubstep,trap,drum-and-bass,grime,hip-hop,new-age,alternative,world-music,electronic,rock"
   A Goofy Movie (1995),a goofy movie,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Fast and the Furious,the fast and the furious,"punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   The Wizard of Oz (1939),the wizard of oz,"acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   Pulp Fiction (1994),pulp fiction,"acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   The Hangover Trilogy,the hangover trilogy,"pop,hip-hop,dubstep,singer-songwriter,indie"
   The Croods (2013),the croods,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Happy Death Day,happy death day,"darkwave,chill,ambient,synthwave,downtempo,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Edward Scissorhands (1990),edward scissorhands,"acoustic,piano,folk,ambient,romantic,epic-fantasy,singer-songwriter,soundtrack,pop,rock,indie-pop,alternative,world-music,r-n-b,indie,soul"
"  I, Tonya (2017)","i, tonya","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Grease (1978),grease,"punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
   Mad Max,mad max,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Ratatouille (2007),ratatouille,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Scott Pilgrim vs. the World (2010),scott pilgrim vs. the world,"folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,rock,metal,world-music,electronic"
   Napoleon Dynamite (2004),napoleon dynamite,"indie,alternative,trip-hop"
   The Road to El Dorado (2000),the road to el dorado,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Lion King (2019),the lion king,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Megan Is Missing (2011),megan is missing,"acoustic,darkwave,piano,ambient,dubstep,metal,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,noise,alternative,dark-ambient,chill,electronic,indie,industrial"
   Taxi Driver (1976),taxi driver,"acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Us (2019),us,"darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Mary Poppins (1964),mary poppins,"folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,alternative,upbeat,rock,fun"
   Fargo (1996),fargo,"reggae,ambient,dubstep,synthwave,trap,drum-and-bass,grime,hip-hop,dark-ambient,chill,electronic"
   Robin Hood (1973),robin hood,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   The Princess Diaries,the princess diaries,"folk,children,pop,romantic,singer-songwriter,kids,upbeat,r-n-b,indie,fun,soul"
   Alice in Wonderland (1951),alice in wonderland,"acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   The Wolf of Wall Street (2013),the wolf of wall street,"acoustic,country,folk,reggae,dubstep,pop,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,electronic,indie"
   The Fifth Element (1997),the fifth element,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Requiem for a Dream (2000),requiem for a dream,"jazz,ambient,house,edm,soul"
   Hocus Pocus (1993),hocus pocus,"folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,alternative,upbeat,rock,fun"
   Scarface (1983),scarface,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   The Dictator (2012),the dictator,"acoustic,indie,folk,ambient,romantic,pop,singer-songwriter,new-age,alternative,world-music,r-n-b,rock,soul"
   Bambi (1942),bambi,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Jurassic Park / Jurassic World,jurassic park / jurassic world,"ambient,new-age,alternative,rock"
   The Addams Family,the addams family,"folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
"   Love, Rosie (2014)","love, rosie","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
