track_genre,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
acoustic,0.549593,0.43536810000000004,-9.447843,0.816,0.043247,0.56681639833,0.03833583693,0.1532444,0.42402300000000004,119.01062399999999
afrobeat,0.6695800000000001,0.702812,-7.789353,0.511,0.0865789,0.2708599523,0.25348287056,0.184596,0.6986192,119.213337
alt-rock,0.5344930000000001,0.754173,-6.191489,0.641,0.0550705,0.12216223569000001,0.054096570069999995,0.2102486,0.5182603,124.63440399999999
alternative,0.5599270000000001,0.72003,-6.078777,0.606,0.0701007,0.14782023359000002,0.0381586047,0.2013763,0.4955701,122.232394
ambient,0.3678668,0.23716178999999998,-18.601365,0.62,0.041561999999999995,0.7767899403999999,0.6762211611,0.12928309999999998,0.16749819999999999,111.113129
anime,0.5374514,0.6741083,-7.932289,0.513,0.087323,0.26773437274,0.26297120969000004,0.19717500000000002,0.4344631,123.52961599999999
black-metal,0.29641090000000003,0.8748973,-6.528524,0.584,0.0871562,0.02705552076,0.44084682085,0.2414203,0.1917364,128.601515
bluegrass,0.5346920000000001,0.5302796,-9.922818999999999,0.852,0.038690300000000004,0.556587756,0.13680780283,0.2276738,0.6350927000000001,126.578805
blues,0.568567,0.5818775,-8.522547000000001,0.714,0.0639181,0.3981138453,0.03409199347,0.1918301,0.6040318,116.568352
brazil,0.562948,0.620721,-7.602097,0.691,0.0959996,0.3323864701,0.013079727840000001,0.297962,0.46978960000000003,121.935644
breakbeat,0.6461939999999999,0.853275,-6.0343800000000005,0.592,0.0857084,0.031410166180000004,0.39585736039,0.2203164,0.4747443,133.03021299999997
british,0.5012758,0.50712697,-10.519963,0.654,0.05001,0.42794293626,0.19367906512,0.1742984,0.4397141,118.828617
cantopop,0.547909,0.4616962,-9.667446,0.773,0.0390832,0.5362672456,0.012618851720000001,0.19194540000000002,0.3935679,124.27733500000001
chicago-house,0.7661760000000001,0.7332150000000001,-9.149466,0.498,0.0743887,0.035310449570000006,0.48280494636000004,0.137569,0.5865412,123.92268000000001
children,0.716467,0.49464517999999996,-9.406671000000001,0.867,0.0927109,0.49867714840000005,0.060557063710000004,0.1813519,0.6942874,123.341201
