movie,processed_movie,expanded-genres,Associated Music Genres
   Marvel Cinematic Universe,marvel cinematic universe,,"alternative,pop,punk,jazz"
   Star Wars,star wars,"Action, Adventure, Fantasy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Harry Potter (franchise),harry potter,,"alternative,pop,punk,jazz"
   The Lion King (1994),the lion king,"Animation, Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Shrek (Franchise),shrek,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Incredibles (Franchise),the incredibles,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Titanic (1997),titanic,"Action, Drama, History","piano,epic,indie-pop,opera,rock,dubstep,singer-songwriter,acoustic,ambient,hard-rock,metal,world-music,electronic,classical,punk,drum-and-bass,alternative,symphony,indie"
   Aladdin (1992),aladdin,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Back to the Future (franchise),back to the future,"Adventure, Comedy, Sci-Fi","acoustic,folk,ambient,chill,synth-pop,retro,synthwave,space,new-age,alternative,world-music,electronic,rock"
   Fight Club (1999),fight club,,"grunge,industrial,psych-rock,jazz,punk"
   Pirates of the Caribbean,pirates of the caribbean,,"folk,goth,french,indie-pop"
   Coco (2017),coco,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Lord of the Rings,the lord of the rings,"Animation, Adventure, Fantasy","acoustic,folk,ambient,epic-fantasy,soundtrack,new-age,alternative,world-music,rock"
   Finding Nemo (Franchise),finding nemo,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Toy Story (Franchise),toy story,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Princess and the Frog (2009),the princess and the frog,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Winnie the Pooh (2011),winnie the pooh,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Forrest Gump (1994),forrest gump,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Once Upon a Time in Hollywood (2019),once upon a time in hollywood,,"jazz, r-n-b, soul, singer-songwriter, indie, folk, romantic"
   The Hunger Games,the hunger games,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Charlie and the Chocolate Factory (2005),charlie and the chocolate factory,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Cars (Franchise),cars,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Up (2009),up,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Godfather,the godfather,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   To All the Boys I've Loved Before (2018),to all the boys i've loved before,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Zootopia (2016),zootopia,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Hotel Transylvania (2012),hotel transylvania,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Se7en (1995),se7en,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Heathers (1988),heathers,"Comedy, Crime","reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
   Men in Black,men in black,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   How to Train Your Dragon (Franchise),how to train your dragon,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Beauty and the Beast (1991),beauty and the beast,"Adventure, Family, Fantasy","acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
