,Artist,Album,Track,Release Date
0,Taylor Swift,1989 (Taylor's Version) [Deluxe],Welcome To New York (Taylor's Version),2023-10-27
1,Taylor Swift,1989 (Taylor's Version) [Deluxe],Blank Space (Taylor's Version),2023-10-27
2,Taylor Swift,1989 (Taylor's Version) [Deluxe],Style (Taylor's Version),2023-10-27
3,Taylor Swift,1989 (Taylor's Version) [Deluxe],Out Of The Woods (Taylor's Version),2023-10-27
4,Taylor Swift,1989 (Taylor's Version) [Deluxe],All You Had To Do Was Stay (Taylor's Version),2023-10-27
5,Taylor Swift,1989 (Taylor's Version) [Deluxe],Shake It Off (Taylor's Version),2023-10-27
6,Taylor Swift,1989 (Taylor's Version) [Deluxe],I Wish You Would (Taylor's Version),2023-10-27
7,Taylor Swift,1989 (Taylor's Version) [Deluxe],Bad Blood (Taylor's Version),2023-10-27
8,Taylor Swift,1989 (Taylor's Version) [Deluxe],Wildest Dreams (Taylor's Version),2023-10-27
9,Taylor Swift,1989 (Taylor's Version) [Deluxe],How You Get The Girl (Taylor's Version),2023-10-27
10,Taylor Swift,1989 (Taylor's Version) [Deluxe],This Love (Taylor’s Version),2023-10-27
11,Taylor Swift,1989 (Taylor's Version) [Deluxe],I Know Places (Taylor's Version),2023-10-27
12,Taylor Swift,1989 (Taylor's Version) [Deluxe],Clean (Taylor's Version),2023-10-27
13,Taylor Swift,1989 (Taylor's Version) [Deluxe],Wonderland (Taylor's Version),2023-10-27
14,Taylor Swift,1989 (Taylor's Version) [Deluxe],You Are In Love (Taylor's Version),2023-10-27
15,Taylor Swift,1989 (Taylor's Version) [Deluxe],New Romantics (Taylor's Version),2023-10-27
16,Taylor Swift,1989 (Taylor's Version) [Deluxe],"""Slut!"" (Taylor's Version) (From The Vault)",2023-10-27
17,Taylor Swift,1989 (Taylor's Version) [Deluxe],Say Don't Go (Taylor's Version) (From The Vault),2023-10-27
18,Taylor Swift,1989 (Taylor's Version) [Deluxe],Now That We Don't Talk (Taylor's Version) (From The Vault),2023-10-27
19,Taylor Swift,1989 (Taylor's Version) [Deluxe],Suburban Legends (Taylor's Version) (From The Vault),2023-10-27
20,Taylor Swift,1989 (Taylor's Version) [Deluxe],Is It Over Now? (Taylor's Version) (From The Vault),2023-10-27
21,Taylor Swift,1989 (Taylor's Version) [Deluxe],Bad Blood (feat. Kendrick Lamar) (Taylor's Version),2023-10-27
22,Taylor Swift,1989 (Taylor's Version),Welcome To New York (Taylor's Version),2023-10-26
23,Taylor Swift,1989 (Taylor's Version),Blank Space (Taylor's Version),2023-10-26
24,Taylor Swift,1989 (Taylor's Version),Style (Taylor's Version),2023-10-26
25,Taylor Swift,1989 (Taylor's Version),Out Of The Woods (Taylor's Version),2023-10-26
26,Taylor Swift,1989 (Taylor's Version),All You Had To Do Was Stay (Taylor's Version),2023-10-26
27,Taylor Swift,1989 (Taylor's Version),Shake It Off (Taylor's Version),2023-10-26
28,Taylor Swift,1989 (Taylor's Version),I Wish You Would (Taylor's Version),2023-10-26
29,Taylor Swift,1989 (Taylor's Version),Bad Blood (Taylor's Version),2023-10-26
30,Taylor Swift,1989 (Taylor's Version),Wildest Dreams (Taylor's Version),2023-10-26
31,Taylor Swift,1989 (Taylor's Version),How You Get The Girl (Taylor's Version),2023-10-26
32,Taylor Swift,1989 (Taylor's Version),This Love (Taylor’s Version),2023-10-26
33,Taylor Swift,1989 (Taylor's Version),I Know Places (Taylor's Version),2023-10-26
34,Taylor Swift,1989 (Taylor's Version),Clean (Taylor's Version),2023-10-26
35,Taylor Swift,1989 (Taylor's Version),Wonderland (Taylor's Version),2023-10-26
36,Taylor Swift,1989 (Taylor's Version),You Are In Love (Taylor's Version),2023-10-26
37,Taylor Swift,1989 (Taylor's Version),New Romantics (Taylor's Version),2023-10-26
38,Taylor Swift,1989 (Taylor's Version),"""Slut!"" (Taylor's Version) (From The Vault)",2023-10-26
39,Taylor Swift,1989 (Taylor's Version),Say Don't Go (Taylor's Version) (From The Vault),2023-10-26
40,Taylor Swift,1989 (Taylor's Version),Now That We Don't Talk (Taylor's Version) (From The Vault),2023-10-26
41,Taylor Swift,1989 (Taylor's Version),Suburban Legends (Taylor's Version) (From The Vault),2023-10-26
42,Taylor Swift,1989 (Taylor's Version),Is It Over Now? (Taylor's Version) (From The Vault),2023-10-26
43,Taylor Swift,Speak Now (Taylor's Version),Mine (Taylor's Version),2023-07-07
44,Taylor Swift,Speak Now (Taylor's Version),Sparks Fly (Taylor’s Version),2023-07-07
45,Taylor Swift,Speak Now (Taylor's Version),Back To December (Taylor's Version),2023-07-07
46,Taylor Swift,Speak Now (Taylor's Version),Speak Now (Taylor's Version),2023-07-07
47,Taylor Swift,Speak Now (Taylor's Version),Dear John (Taylor's Version),2023-07-07
48,Taylor Swift,Speak Now (Taylor's Version),Mean (Taylor's Version),2023-07-07
49,Taylor Swift,Speak Now (Taylor's Version),The Story Of Us (Taylor's Version),2023-07-07
50,Taylor Swift,Speak Now (Taylor's Version),Never Grow Up (Taylor's Version),2023-07-07
51,Taylor Swift,Speak Now (Taylor's Version),Enchanted (Taylor's Version),2023-07-07
52,Taylor Swift,Speak Now (Taylor's Version),Better Than Revenge (Taylor's Version),2023-07-07
53,Taylor Swift,Speak Now (Taylor's Version),Innocent (Taylor's Version),2023-07-07
54,Taylor Swift,Speak Now (Taylor's Version),Haunted (Taylor's Version),2023-07-07
55,Taylor Swift,Speak Now (Taylor's Version),Last Kiss (Taylor's Version),2023-07-07
56,Taylor Swift,Speak Now (Taylor's Version),Long Live (Taylor's Version),2023-07-07
57,Taylor Swift,Speak Now (Taylor's Version),Ours (Taylor’s Version),2023-07-07
58,Taylor Swift,Speak Now (Taylor's Version),Superman (Taylor’s Version),2023-07-07
59,Taylor Swift,Speak Now (Taylor's Version),Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),2023-07-07
60,Taylor Swift,Speak Now (Taylor's Version),When Emma Falls in Love (Taylor’s Version) (From The Vault),2023-07-07
61,Taylor Swift,Speak Now (Taylor's Version),I Can See You (Taylor’s Version) (From The Vault),2023-07-07
62,Taylor Swift,Speak Now (Taylor's Version),Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),2023-07-07
63,Taylor Swift,Speak Now (Taylor's Version),Foolish One (Taylor’s Version) (From The Vault),2023-07-07
64,Taylor Swift,Speak Now (Taylor's Version),Timeless (Taylor’s Version) (From The Vault),2023-07-07
65,Taylor Swift,Midnights (The Til Dawn Edition),Lavender Haze,2023-05-26
66,Taylor Swift,Midnights (The Til Dawn Edition),Maroon,2023-05-26
67,Taylor Swift,Midnights (The Til Dawn Edition),Anti-Hero,2023-05-26
68,Taylor Swift,Midnights (The Til Dawn Edition),Snow On The Beach (feat. Lana Del Rey),2023-05-26
69,Taylor Swift,Midnights (The Til Dawn Edition),"You're On Your Own, Kid",2023-05-26
70,Taylor Swift,Midnights (The Til Dawn Edition),Midnight Rain,2023-05-26
71,Taylor Swift,Midnights (The Til Dawn Edition),Question...?,2023-05-26
72,Taylor Swift,Midnights (The Til Dawn Edition),Vigilante Shit,2023-05-26
73,Taylor Swift,Midnights (The Til Dawn Edition),Bejeweled,2023-05-26
74,Taylor Swift,Midnights (The Til Dawn Edition),Labyrinth,2023-05-26
75,Taylor Swift,Midnights (The Til Dawn Edition),Karma,2023-05-26
76,Taylor Swift,Midnights (The Til Dawn Edition),Sweet Nothing,2023-05-26
77,Taylor Swift,Midnights (The Til Dawn Edition),Mastermind,2023-05-26
78,Taylor Swift,Midnights (The Til Dawn Edition),The Great War,2023-05-26
79,Taylor Swift,Midnights (The Til Dawn Edition),Bigger Than The Whole Sky,2023-05-26
80,Taylor Swift,Midnights (The Til Dawn Edition),Paris,2023-05-26
81,Taylor Swift,Midnights (The Til Dawn Edition),High Infidelity,2023-05-26
82,Taylor Swift,Midnights (The Til Dawn Edition),Glitch,2023-05-26
83,Taylor Swift,Midnights (The Til Dawn Edition),"Would've, Could've, Should've",2023-05-26
84,Taylor Swift,Midnights (The Til Dawn Edition),Dear Reader,2023-05-26
85,Taylor Swift,Midnights (The Til Dawn Edition),Hits Different,2023-05-26
86,Taylor Swift,Midnights (The Til Dawn Edition),Snow On The Beach (feat. More Lana Del Rey),2023-05-26
87,Taylor Swift,Midnights (The Til Dawn Edition),Karma (feat. Ice Spice),2023-05-26
88,Taylor Swift,Midnights (3am Edition),Lavender Haze,2022-10-22
89,Taylor Swift,Midnights (3am Edition),Maroon,2022-10-22
90,Taylor Swift,Midnights (3am Edition),Anti-Hero,2022-10-22
91,Taylor Swift,Midnights (3am Edition),Snow On The Beach (feat. Lana Del Rey),2022-10-22
92,Taylor Swift,Midnights (3am Edition),"You're On Your Own, Kid",2022-10-22
93,Taylor Swift,Midnights (3am Edition),Midnight Rain,2022-10-22
94,Taylor Swift,Midnights (3am Edition),Question...?,2022-10-22
95,Taylor Swift,Midnights (3am Edition),Vigilante Shit,2022-10-22
96,Taylor Swift,Midnights (3am Edition),Bejeweled,2022-10-22
97,Taylor Swift,Midnights (3am Edition),Labyrinth,2022-10-22
98,Taylor Swift,Midnights (3am Edition),Karma,2022-10-22
99,Taylor Swift,Midnights (3am Edition),Sweet Nothing,2022-10-22
100,Taylor Swift,Midnights (3am Edition),Mastermind,2022-10-22
101,Taylor Swift,Midnights (3am Edition),The Great War,2022-10-22
102,Taylor Swift,Midnights (3am Edition),Bigger Than The Whole Sky,2022-10-22
103,Taylor Swift,Midnights (3am Edition),Paris,2022-10-22
104,Taylor Swift,Midnights (3am Edition),High Infidelity,2022-10-22
105,Taylor Swift,Midnights (3am Edition),Glitch,2022-10-22
106,Taylor Swift,Midnights (3am Edition),"Would've, Could've, Should've",2022-10-22
107,Taylor Swift,Midnights (3am Edition),Dear Reader,2022-10-22
108,Taylor Swift,Midnights,Lavender Haze,2022-10-21
109,Taylor Swift,Midnights,Maroon,2022-10-21
110,Taylor Swift,Midnights,Anti-Hero,2022-10-21
111,Taylor Swift,Midnights,Snow On The Beach (feat. Lana Del Rey),2022-10-21
112,Taylor Swift,Midnights,"You're On Your Own, Kid",2022-10-21
113,Taylor Swift,Midnights,Midnight Rain,2022-10-21
114,Taylor Swift,Midnights,Question...?,2022-10-21
115,Taylor Swift,Midnights,Vigilante Shit,2022-10-21
116,Taylor Swift,Midnights,Bejeweled,2022-10-21
117,Taylor Swift,Midnights,Labyrinth,2022-10-21
118,Taylor Swift,Midnights,Karma,2022-10-21
119,Taylor Swift,Midnights,Sweet Nothing,2022-10-21
120,Taylor Swift,Midnights,Mastermind,2022-10-21
121,Taylor Swift,Red (Taylor's Version),State Of Grace (Taylor's Version),2021-11-12
122,Taylor Swift,Red (Taylor's Version),Red (Taylor's Version),2021-11-12
123,Taylor Swift,Red (Taylor's Version),Treacherous (Taylor's Version),2021-11-12
124,Taylor Swift,Red (Taylor's Version),I Knew You Were Trouble (Taylor's Version),2021-11-12
125,Taylor Swift,Red (Taylor's Version),All Too Well (Taylor's Version),2021-11-12
126,Taylor Swift,Red (Taylor's Version),22 (Taylor's Version),2021-11-12
127,Taylor Swift,Red (Taylor's Version),I Almost Do (Taylor's Version),2021-11-12
128,Taylor Swift,Red (Taylor's Version),We Are Never Ever Getting Back Together (Taylor's Version),2021-11-12
129,Taylor Swift,Red (Taylor's Version),Stay Stay Stay (Taylor's Version),2021-11-12
130,Taylor Swift,Red (Taylor's Version),The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),2021-11-12
131,Taylor Swift,Red (Taylor's Version),Holy Ground (Taylor's Version),2021-11-12
132,Taylor Swift,Red (Taylor's Version),Sad Beautiful Tragic (Taylor's Version),2021-11-12
133,Taylor Swift,Red (Taylor's Version),The Lucky One (Taylor's Version),2021-11-12
134,Taylor Swift,Red (Taylor's Version),Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),2021-11-12
135,Taylor Swift,Red (Taylor's Version),Starlight (Taylor's Version),2021-11-12
136,Taylor Swift,Red (Taylor's Version),Begin Again (Taylor's Version),2021-11-12
137,Taylor Swift,Red (Taylor's Version),The Moment I Knew (Taylor's Version),2021-11-12
138,Taylor Swift,Red (Taylor's Version),Come Back...Be Here (Taylor's Version),2021-11-12
139,Taylor Swift,Red (Taylor's Version),Girl At Home (Taylor's Version),2021-11-12
140,Taylor Swift,Red (Taylor's Version),State Of Grace (Acoustic Version) (Taylor's Version),2021-11-12
141,Taylor Swift,Red (Taylor's Version),Ronan (Taylor's Version),2021-11-12
142,Taylor Swift,Red (Taylor's Version),Better Man (Taylor's Version) (From The Vault),2021-11-12
143,Taylor Swift,Red (Taylor's Version),Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),2021-11-12
